"Framework","Iteration","Training.size","Batch.size","Number.of.epochs","Learning.rate","Precision.mode","Device","Weight.initialization","Dropout.rate","Training.time..in.seconds.","Inference.time..in.seconds.","Accuracy..in...","Average.CPU.usage..in.....during.CPU.training.","Average.RAM.usage..in.....during.CPU.training.","Average.CPU.usage..in.....during.CPU.inference.","Average.RAM.usage..in.....during.CPU.inference.","Average.CPU.usage..in.....during.GPU.training.","Average.RAM.usage..in.....during.GPU.training.","Average.GPU.usage..in.....during.GPU.training.","Average.GPU.VRAM..in.....during.GPU.training.","Average.CPU.usage..in.....during.GPU.inference.","Average.RAM.usage..in.....during.GPU.inference.","Average.GPU.usage..in.....during.GPU.inference.","Average.GPU.VRAM..in.....during.GPU.inference."
"Keras",0,0.2,64,5,0.01,"float32","cpu","xavier",0,5.13373589515686,49.8880624771118,89.8599982261658,52.29,22.4139453658795,"38.51252485089463","28.168000326205906","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,5,0.05,"float32","cpu","xavier",0,5.10612082481384,47.7684497833252,94.8000013828278,53.9088235294118,22.394961145916,"38.56246973365618","28.169533572099002","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,5,0.1,"float32","cpu","xavier",0,5.10258865356445,47.8614807128906,93.0499970912933,53.2808823529412,22.415351970191,"39.199777282850775","28.187657198435847","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,5,0.01,"float32","cpu","he",0,5.00536680221558,47.1858501434326,93.7600016593933,54.1626865671642,22.4461139370178,"38.723270440251575","28.172252840064544","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,5,0.05,"float32","cpu","he",0,5.01906943321228,46.5203762054443,96.3800013065338,54.0808823529412,22.4338275333983,"38.77777777777778","28.18196299593627","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,5,0.1,"float32","cpu","he",0,5.14580392837524,46.8839645385742,94.0199971199036,53.2205882352941,22.3990810137477,"38.81682242990654","28.174935616486206","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,5,0.01,"float32","cpu","xavier",0,3.99006986618042,34.0706348419189,70.990002155304,65.662,23.0393972241726,"59.39525423728813","28.72898990555497","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,5,0.05,"float32","cpu","xavier",0,3.90772342681885,31.8502187728882,93.8300013542175,66.374,23.0875535756283,"58.6531746031746","28.71606977249069","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,5,0.1,"float32","cpu","xavier",0,3.88394093513489,32.5978755950928,95.5200016498566,66.9632653061225,23.0822328997265,"56.2004424778761","28.65824282853563","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,5,0.01,"float32","cpu","he",0,3.86628317832947,33.385443687439,90.6799972057343,68.2244897959184,23.1037519466733,"57.18009478672986","28.722099801440926","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,5,0.05,"float32","cpu","he",0,3.91247963905334,31.3378810882568,95.5999970436096,66.772,23.0896064922851,"59.92542372881356","28.739648155628426","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,5,0.1,"float32","cpu","he",0,3.88699650764465,32.661247253418,96.6600000858307,67.7530612244898,23.0852861497318,"56.285000000000004","28.7210271746688","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,5,0.01,"float32","cpu","xavier",0,3.58988261222839,29.0164470672607,40.5200004577637,70.3318181818182,23.185889175621,"63.9548523206751","28.84077285484816","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,5,0.05,"float32","cpu","xavier",0,3.60360932350159,29.7315120697022,80.5999994277954,71.0636363636364,23.1907722622263,"58.53630573248408","28.77496345389104","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,5,0.1,"float32","cpu","xavier",0,3.6009726524353,29.207444190979,84.0399980545044,70.7704545454545,23.1683909304202,"61.96363636363637","28.813125478925087","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,5,0.01,"float32","cpu","he",0,3.63176965713501,29.1348934173584,84.0099990367889,70.675,23.1924860477791,"63.53415637860082","28.817152514741213","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,5,0.05,"float32","cpu","he",0,3.62815737724304,28.4777879714966,93.5500025749207,70.1113636363636,23.2080250886929,"59.96496815286624","28.771636193661887","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,5,0.1,"float32","cpu","he",0,3.62034130096436,29.3576717376709,95.2400028705597,71.1818181818182,23.2361439125287,"62.54717948717949","28.796003253471202","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,15,0.01,"float32","cpu","xavier",0,14.7460985183716,47.579026222229,95.7599997520447,56.7319796954315,22.4979093299688,"39.71056034482758","28.18514802953203","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,15,0.05,"float32","cpu","xavier",0,14.4268870353699,48.60520362854,97.9300022125244,56.9025773195876,22.4912888811756,"38.98295218295218","28.186599899318765","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,15,0.1,"float32","cpu","xavier",0,14.5472512245178,47.8376388549805,98.2100009918213,56.4871794871795,22.5007873227447,"39.23395061728396","28.185310916087914","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,15,0.01,"float32","cpu","he",0,14.8693253993988,47.3375082015991,96.7000007629395,56.1873737373737,22.4848126829474,"38.505991735537194","28.174298394018194","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,15,0.05,"float32","cpu","he",0,14.4176597595215,47.5997447967529,97.8100001811981,56.139896373057,22.4860044112871,"38.185653104925045","28.205042046514365","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,15,0.1,"float32","cpu","he",0,14.3927249908447,47.9759454727173,98.2599973678589,56.4720207253886,22.4855399852873,"39.47787234042553","28.17931112148648","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,15,0.01,"float32","cpu","xavier",0,11.1156222820282,32.7699899673462,91.6599988937378,72.1835714285714,23.2718655410641,"59.728813559322035","28.726496655075128","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,15,0.05,"float32","cpu","xavier",0,11.0948920249939,32.6330661773682,95.9200024604797,72.1244604316547,23.2963884248583,"58.67333333333334","28.72356587432966","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,15,0.1,"float32","cpu","xavier",0,11.0598258972168,32.8592300415039,95.880001783371,71.946762589928,23.3486720993948,"54.79238095238095","28.660870307831882","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,15,0.01,"float32","cpu","he",0,11.0829181671143,31.9210052490234,94.2300021648407,72.35,23.2805161519927,"58.467450980392165","28.690045121762463","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,15,0.05,"float32","cpu","he",0,11.0851709842682,33.9155197143555,96.4299976825714,72.7739130434783,23.2911599278891,"57.40102739726027","28.7451064475865","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,15,0.1,"float32","cpu","he",0,11.0279927253723,31.0867309570313,95.8199977874756,72.2608695652174,23.2806924776148,"56.85515873015873","28.726976892325514","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,15,0.01,"float32","cpu","xavier",0,10.2872772216797,29.1722059249878,87.5699996948242,76.7024193548387,23.4029316094067,"64.64279835390947","28.829131672661344","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,15,0.05,"float32","cpu","xavier",0,10.2185380458832,29.3334245681763,94.7200000286102,76.3685483870968,23.409175085898,"61.26529411764705","28.782158592429113","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,15,0.1,"float32","cpu","xavier",0,10.2431702613831,29.9848079681397,95.6499993801117,76.6540322580645,23.5515124733294,"62.044736842105266","28.81488986100024","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,15,0.01,"float32","cpu","he",0,10.2601563930511,29.2783498764038,92.4399971961975,76.316935483871,23.4273213264228,"63.23822222222223","28.831416437369043","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,15,0.05,"float32","cpu","he",0,10.2197260856628,28.1668186187744,95.6099987030029,76.5,23.388399865652,"64.62377049180327","28.88036150946869","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,15,0.1,"float32","cpu","he",0,10.2981696128845,27.893853187561,96.1499989032745,76.6346774193549,23.4224141196349,"59.95403726708075","28.749880259834278","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,30,0.01,"float32","cpu","xavier",0,29.202876329422,47.9524612426758,97.6000010967255,57.0083116883117,22.5017817889678,"38.64721603563474","28.18248364407944","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,30,0.05,"float32","cpu","xavier",0,28.8492093086243,47.7220058441162,98.1299996376038,57.2965879265092,22.4985983493454,"39.201153846153844","28.189073246654964","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,30,0.1,"float32","cpu","xavier",0,28.5761282444,47.7920770645142,98.2900023460388,57.2301587301587,22.5311932893643,"39.25337552742616","28.190914474159275","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,30,0.01,"float32","cpu","he",0,29.1921231746674,47.4621534347534,97.409999370575,57.04921875,22.5467704884343,"39.5393280632411","28.19624745036683","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,30,0.05,"float32","cpu","he",0,28.7892158031464,47.6156711578369,98.3500003814697,57.3081578947369,22.5320231010502,"39.404583333333335","28.16982275849802","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,30,0.1,"float32","cpu","he",0,29.1735563278198,46.4091777801514,98.2800006866455,57.24765625,22.5311521171124,"38.99480812641083","28.185863569245754","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,30,0.01,"float32","cpu","xavier",0,21.7755076885223,32.8782320022583,94.7499990463257,73.9379182156134,23.3371224905613,"57.68865546218488","28.7440920774422","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,30,0.05,"float32","cpu","xavier",0,21.8211119174957,32.5870275497437,97.6700007915497,74.0814814814815,23.364351577455,"55.55418502202643","28.733764742676865","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,30,0.1,"float32","cpu","xavier",0,21.7672321796417,32.414436340332,97.4500000476837,73.2859259259259,23.428684149575,"55.30746887966805","28.73380534939614","[]","[]","[]","[]","[]","[]","[]","[]"
