"Framework","Iteration","Training.size","Batch.size","Number.of.epochs","Learning.rate","Precision.mode","Device","Weight.initialization","Dropout.rate","Training.time..in.seconds.","Inference.time..in.seconds.","Accuracy..in...","Average.CPU.usage..in.....during.CPU.training.","Average.RAM.usage..in.....during.CPU.training.","Average.CPU.usage..in.....during.CPU.inference.","Average.RAM.usage..in.....during.CPU.inference.","Average.CPU.usage..in.....during.GPU.training.","Average.RAM.usage..in.....during.GPU.training.","Average.GPU.usage..in.....during.GPU.training.","Average.GPU.VRAM..in.....during.GPU.training.","Average.CPU.usage..in.....during.GPU.inference.","Average.RAM.usage..in.....during.GPU.inference.","Average.GPU.usage..in.....during.GPU.inference.","Average.GPU.VRAM..in.....during.GPU.inference."
"Keras",0,0.2,64,5,0.01,"float32","gpu","xavier",0,4.20079231262207,36.0587120056152,89.9100005626678,NA,NA,"[]","[]","11.392982456140352","23.042614282481207","16.912280701754387","24.641278349517343","12.668284789644012","29.39213789564226","21.699029126213592","24.968451371274494"
"Keras",0,0.2,64,5,0.05,"float32","gpu","xavier",0,3.71301817893982,36.1757040023804,95.3100025653839,NA,NA,"[]","[]","11.346153846153848","23.026274360460427","18.73076923076923","24.518808671574263","12.863245033112582","29.364629034462908","18.47682119205298","24.953672286350542"
"Keras",0,0.2,64,5,0.1,"float32","gpu","xavier",0,3.60783720016479,34.9577903747559,95.6499993801117,NA,NA,"[]","[]","11.334615384615386","23.019411224707632","19.115384615384617","24.453202635818972","13.12445652173913","29.393199831080587","18.63586956521739","25.1259004575224"
"Keras",0,0.2,64,5,0.01,"mixed","gpu","xavier",0,5.04428935050964,36.9428157806396,89.7599995136261,NA,NA,"[]","[]","12.075714285714286","23.089153934769666","18.857142857142858","24.68975649961478","13.39119804400978","29.40493136986674","17.21515892420538","25.197235044804334"
"Keras",0,0.2,64,5,0.05,"mixed","gpu","xavier",0,5.74058032035828,37.4458312988281,95.1499998569489,NA,NA,"[]","[]","11.882894736842102","23.120481831939113","17.236842105263158","24.877052156290645","13.231188118811883","29.40956834473941","19.435643564356436","25.19058753987778"
"Keras",0,0.2,64,5,0.1,"mixed","gpu","xavier",0,5.65869760513306,37.1726989746094,95.4500019550323,NA,NA,"[]","[]","12.226666666666667","23.119813381825715","17.133333333333333","24.837660437309257","13.083702213279677","29.4336581109299","14.275653923541247","25.331898578224642"
"Keras",0,0.2,64,5,0.01,"float32","gpu","he",0,3.90901637077332,36.6017818450928,93.9199984073639,NA,NA,"[]","[]","11.568518518518522","23.045935472821142","17.703703703703702","24.5713542465079","12.730033003300331","29.393876297470932","20.686468646864686","24.94926151338325"
"Keras",0,0.2,64,5,0.05,"float32","gpu","he",0,3.6425666809082,34.7774744033813,95.660001039505,NA,NA,"[]","[]","11.26346153846154","23.026792112353448","19.826923076923077","24.464780171540497","12.556989247311826","29.336610297184983","21.293906810035843","24.84977300180223"
"Keras",0,0.2,64,5,0.1,"float32","gpu","he",0,3.77268028259277,35.3787660598755,93.5199975967407,NA,NA,"[]","[]","11.626415094339624","23.024319586957247","18.81132075471698","24.513156431257393","12.959882005899704","29.391663209367994","21.63126843657817","25.04592379812842"
"Keras",0,0.2,64,5,0.01,"mixed","gpu","he",0,5.44543743133545,36.5418195724487,93.7699973583221,NA,NA,"[]","[]","12.116216216216216","23.12660796889139","17.27027027027027","24.875508896580016","13.297374179431072","29.412888279377498","16.663019693654267","25.26972185392658"
"Keras",0,0.2,64,5,0.05,"mixed","gpu","he",0,5.48615288734436,37.6681327819824,95.6300020217896,NA,NA,"[]","[]","11.972000000000001","23.118909135394","17.453333333333333","24.833646891592466","13.253488372093024","29.411277169155397","12.169767441860465","25.226943259080794"
"Keras",0,0.2,64,5,0.1,"mixed","gpu","he",0,5.16861152648926,40.4677391052246,93.8199996948242,NA,NA,"[]","[]","11.647222222222222","23.095646462290542","17.47222222222222","24.746366208174813","13.259610705596106","29.404687535135867","16.676399026763992","25.20785632043426"
"Keras",0,0.2,256,5,0.01,"float32","gpu","xavier",0,2.10857200622559,20.5519437789917,71.0200011730194,NA,NA,"[]","[]","10.422580645161293","22.66157744502581","15.03225806451613","23.424622617462962","13.393006993006995","29.22949544291","22.713286713286713","24.524992128152785"
"Keras",0,0.2,256,5,0.05,"float32","gpu","xavier",0,2.12340259552002,20.4480409622192,93.8499987125397,NA,NA,"[]","[]","11.434375","22.727579034311994","16.34375","23.549009155901167","14.137499999999998","29.297038690219235","23.71527777777778","24.554573073010292"
"Keras",0,0.2,256,5,0.1,"float32","gpu","xavier",0,2.24988222122192,22.4557876586914,95.8599984645844,NA,NA,"[]","[]","10.612121212121211","22.713621033809396","15.454545454545455","23.660536127612506","10.4","28.616832992396596","3.5","20.201178979054312"
"Keras",0,0.2,256,5,0.01,"mixed","gpu","xavier",0,2.64303803443909,22.2064733505249,70.9999978542328,NA,NA,"[]","[]","10.36578947368421","22.748228842727006","14.657894736842104","23.18614798629586","11.368181818181819","28.85534028917829","9.530303030303031","21.525299400628633"
"Keras",0,0.2,256,5,0.05,"mixed","gpu","xavier",0,2.43610119819641,22.3265171051025,93.8499987125397,NA,NA,"[]","[]","10.562857142857144","22.731617775943604","14.742857142857142","23.021626561072196","14.175460122699386","29.307387935540273","20.368098159509202","24.163838230100204"
"Keras",0,0.2,256,5,0.1,"mixed","gpu","xavier",0,2.52275609970093,22.0369100570679,95.7099974155426,NA,NA,"[]","[]","11.102702702702702","22.705546327208943","13.64864864864865","23.000938979867872","13.729375","29.293298762972398","19.175","24.10824031104979"
"Keras",0,0.2,256,5,0.01,"float32","gpu","he",0,2.10898542404175,19.8021650314331,90.64000248909,NA,NA,"[]","[]","10.23225806451613","22.748668769012028","16.612903225806452","23.588886686114016","11.07058823529412","28.827441980751477","11.676470588235293","21.88341535033679"
"Keras",0,0.2,256,5,0.05,"float32","gpu","he",0,2.14280605316162,21.2582588195801,95.5900013446808,NA,NA,"[]","[]","10.27741935483871","22.73610493099721","15.806451612903226","23.58807750350982","13.202797202797203","29.30111238822017","24.53146853146853","24.542007597319266"
"Keras",0,0.2,256,5,0.1,"float32","gpu","he",0,2.12986087799072,20.2248096466064,96.450001001358,NA,NA,"[]","[]","11.574193548387097","22.67060692518704","14.096774193548388","23.3671706525653","11.75810810810811","28.953804146254445","13.91891891891892","22.409415561303177"
"Keras",0,0.2,256,5,0.01,"mixed","gpu","he",0,2.48856830596924,21.6755628585815,90.6899988651276,NA,NA,"[]","[]","11.630555555555555","22.737104523585867","14.083333333333334","23.093217386457077","13.506976744186048","29.21834579289488","17.441860465116278","23.642098283256374"
"Keras",0,0.2,256,5,0.05,"mixed","gpu","he",0,2.67165970802307,22.6382493972778,95.5200016498566,NA,NA,"[]","[]","10.894736842105265","22.777469615063186","13.868421052631579","23.243578656914462","13.698816568047336","29.31150580096762","18.57396449704142","24.195936433391687"
"Keras",0,0.2,256,5,0.1,"mixed","gpu","he",0,2.60789132118225,21.5155839920044,96.4999973773956,NA,NA,"[]","[]","10.863157894736839","22.748000835457038","14.763157894736842","23.172945533280092","13.422881355932208","29.183031989375664","17.415254237288135","23.47414047835172"
"Keras",0,0.2,512,5,0.01,"float32","gpu","xavier",0,1.978346824646,18.8168048858643,40.7400012016296,NA,NA,"[]","[]","10.579310344827586","22.706534310546566","14.068965517241379","23.887949415484165","12.766216216216216","28.91257878854891","15.297297297297296","22.35924623984325"
"Keras",0,0.2,512,5,0.05,"float32","gpu","xavier",0,2.00034284591675,18.1217670440674,81.8499982357025,NA,NA,"[]","[]","11.353333333333333","22.722362823327487","15.5","23.806179188093157","10.827777777777776","26.37173497305082","0.5","18.34942932396839"
"Keras",0,0.2,512,5,0.1,"float32","gpu","xavier",0,2.02792692184448,18.2630300521851,93.2600021362305,NA,NA,"[]","[]","11.023333333333333","22.691820590827838","14.1","23.79280070237051","13.913253012048193","29.027209520986993","18.0","22.93992223755173"
"Keras",0,0.2,512,5,0.01,"mixed","gpu","xavier",0,2.21314120292664,18.9518451690674,40.6300008296967,NA,NA,"[]","[]","9.9625","22.668164329886025","13.0","22.748651699485762","14.88090909090909","29.2399941179099","22.654545454545456","23.346293741377163"
"Keras",0,0.2,512,5,0.05,"mixed","gpu","xavier",0,2.19814109802246,17.6570177078247,80.1900029182434,NA,NA,"[]","[]","9.983870967741936","22.647236425184616","12.064516129032258","22.627577752333487","10.185714285714285","28.235103733492668","1.0","18.34942932396839"
"Keras",0,0.2,512,5,0.1,"mixed","gpu","xavier",0,2.20397567749023,19.2780733108521,90.719997882843,NA,NA,"[]","[]","9.85757575757576","22.62734879455145","13.181818181818182","22.619902777936144","9.85625","25.65397121174129","0.6875","18.349429323968394"
"Keras",0,0.2,512,5,0.01,"float32","gpu","he",0,1.97218489646912,19.1179990768433,83.9800000190735,NA,NA,"[]","[]","10.66896551724138","22.69702614531165","14.137931034482758","23.81356042159531","9.890243902439025","28.357380727461802","2.0","18.883549051218594"
"Keras",0,0.2,512,5,0.05,"float32","gpu","he",0,1.96521353721619,18.5790061950684,93.3200001716614,NA,NA,"[]","[]","10.260714285714284","22.699016427884715","13.321428571428571","23.741735500170225","10.073913043478258","27.490904215026198","0.9130434782608695","18.349429323968387"
"Keras",0,0.2,512,5,0.1,"float32","gpu","he",0,1.98194980621338,19.5220708847046,95.1900005340576,NA,NA,"[]","[]","10.062068965517241","22.689719848903575","14.655172413793103","23.753011240522984","10.661403508771931","28.795483364894654","8.070175438596491","21.045810311555886"
"Keras",0,0.2,512,5,0.01,"mixed","gpu","he",0,2.23634576797485,17.9868698120117,84.0300023555756,NA,NA,"[]","[]","10.463636363636365","22.646054971600222","12.181818181818182","22.66855181692759","11.358928571428573","28.74521212962543","7.589285714285714","20.771890845890596"
"Keras",0,0.2,512,5,0.05,"mixed","gpu","he",0,2.21298956871033,19.7988033294678,93.5599982738495,NA,NA,"[]","[]","10.187878787878788","22.698119303176174","13.666666666666666","22.737724669243548","12.789610389610388","29.061060740135463","15.506493506493506","22.153501834926644"
"Keras",0,0.2,512,5,0.1,"mixed","gpu","he",0,2.16760802268982,18.3578252792358,95.3800022602081,NA,NA,"[]","[]","10.728125","22.64731078497492","12.28125","22.66477486516995","14.848214285714286","29.257361136536936","23.116071428571427","23.386294816434038"
"Keras",0,0.2,64,15,0.01,"float32","gpu","xavier",0,8.41662073135376,36.1463785171509,95.7199990749359,NA,NA,"[]","[]","12.35391304347826","23.283779682832343","24.06086956521739","25.551344483283255","13.048307692307695","29.414060341677338","20.338461538461537","25.023338382425305"
"Keras",0,0.2,64,15,0.05,"float32","gpu","xavier",0,8.91668057441711,36.1019134521484,97.8299975395203,NA,NA,"[]","[]","12.710833333333333","23.320346393914033","23.358333333333334","25.708014549103222","13.108282208588955","29.394582708857012","17.322085889570552","25.021410450454336"
"Keras",0,0.2,64,15,0.1,"float32","gpu","xavier",0,9.36226582527161,36.2019538879395,98.2500016689301,NA,NA,"[]","[]","12.7792","23.315762902597","21.888","25.70445252727957","12.61124031007752","29.37277463372681","20.333333333333332","24.779075114947055"
"Keras",0,0.2,64,15,0.01,"mixed","gpu","xavier",0,14.4688711166382,41.4878129959106,95.8000004291534,NA,NA,"[]","[]","13.004232804232805","23.37347543594408","18.43915343915344","25.922475126037153","13.17415143603133","29.422932267339476","16.89295039164491","25.153201454386362"
"Keras",0,0.2,64,15,0.05,"mixed","gpu","xavier",0,13.1598176956177,38.5402202606201,97.759997844696,NA,NA,"[]","[]","12.8","23.377989477921204","21.362068965517242","25.860122741839923","13.010893854748602","29.431129001416178","17.399441340782122","25.103299053299306"
"Keras",0,0.2,64,15,0.1,"mixed","gpu","xavier",0,13.2664384841919,36.8991136550903,98.1500029563904,NA,NA,"[]","[]","13.109090909090908","23.35250262078465","20.90909090909091","25.826653592237438","13.47171052631579","29.425279179141572","14.421052631578947","25.27109036859048"
"Keras",0,0.2,64,15,0.01,"float32","gpu","he",0,9.4305374622345,37.1589183807373,96.7499971389771,NA,NA,"[]","[]","12.434126984126983","23.326758491568835","22.150793650793652","25.729296693801903","12.7609375","29.36384588910341","21.01171875","24.772670262134696"
"Keras",0,0.2,64,15,0.05,"float32","gpu","he",0,8.88655304908752,35.237455368042,98.0199992656708,NA,NA,"[]","[]","12.325","23.317112389465116","23.391666666666666","25.675613528993683","12.95486111111111","29.38144708711964","18.743055555555557","24.90044525272796"
"Keras",0,0.2,64,15,0.1,"float32","gpu","he",0,9.48332571983337,35.9432697296143,98.1500029563904,NA,NA,"[]","[]","12.60079365079365","23.325343833129402","21.865079365079364","25.696447733322188","12.826035502958579","29.388278628025454","19.414201183431953","25.0117816268961"
"Keras",0,0.2,64,15,0.01,"mixed","gpu","he",0,13.3209588527679,38.279390335083,96.7400014400482,NA,NA,"[]","[]","12.894318181818182","23.369505710197487","21.0","25.824658221497554","13.408783783783784","29.453126263797053","15.695945945945946","25.257936978744702"
"Keras",0,0.2,64,15,0.05,"mixed","gpu","he",0,13.6728186607361,37.6714468002319,97.8299975395203,NA,NA,"[]","[]","13.132584269662923","23.37395148320645","20.707865168539325","25.895261676698187","13.489587852494575","29.454534713597027","16.0","25.27611491386466"
