"Framework","Iteration","Training.size","Batch.size","Number.of.epochs","Learning.rate","Precision.mode","Device","Weight.initialization","Dropout.rate","Training.time..in.seconds.","Inference.time..in.seconds.","Accuracy..in...","Average.CPU.usage..in.....during.CPU.training.","Average.RAM.usage..in.....during.CPU.training.","Average.CPU.usage..in.....during.CPU.inference.","Average.RAM.usage..in.....during.CPU.inference.","Average.CPU.usage..in.....during.GPU.training.","Average.RAM.usage..in.....during.GPU.training.","Average.GPU.usage..in.....during.GPU.training.","Average.GPU.VRAM..in.....during.GPU.training.","Average.CPU.usage..in.....during.GPU.inference.","Average.RAM.usage..in.....during.GPU.inference.","Average.GPU.usage..in.....during.GPU.inference.","Average.GPU.VRAM..in.....during.GPU.inference."
"PyTorch",0,0.2,64,5,0.01,"float32","cpu","xavier",0,3.03570747375488,39.4585609436035,90.4199981689453,53.5595238095238,22.7663757832433,"54.0210332103321","22.7870098100253","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,64,5,0.05,"float32","cpu","xavier",0,2.80488657951355,22.4551200866699,95.9300003051758,53.8783783783784,22.762639511938,"53.864432989690705","22.780343366073602","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,64,5,0.1,"float32","cpu","xavier",0,2.70064926147461,21.6042280197144,96.4700012207031,53.5472222222222,22.7677716702906,"54.06405529953917","22.7754323814428","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,64,5,0.01,"float32","cpu","he",0,2.71804046630859,20.7953691482544,93.3300018310547,53.8027777777778,22.7632363523496,"54.12076923076922","22.78348265478775","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,64,5,0.05,"float32","cpu","he",0,2.70418667793274,22.050929069519,96.370002746582,53.3277777777778,22.7587628497128,"53.996099290780144","22.76846175792038","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,64,5,0.1,"float32","cpu","he",0,2.70349764823914,21.6326951980591,96.8099975585938,53.4805555555556,22.7725589784885,"53.995979899497485","22.78572981652851","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,256,5,0.01,"float32","cpu","xavier",0,2.26842594146729,15.0261163711548,48.3499984741211,54.5464285714286,22.7841899550542,"53.884552845528454","22.779886662536768","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,256,5,0.05,"float32","cpu","xavier",0,2.29125618934631,15.5336856842041,90.9499969482422,53.8785714285714,22.8295392981518,"53.76021505376343","22.771463546571642","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,256,5,0.1,"float32","cpu","xavier",0,2.22565603256226,15.5840873718262,94.4400024414062,54.7214285714286,22.7929526001636,"53.85028901734104","22.791894091632134","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,256,5,0.01,"float32","cpu","he",0,2.27823185920715,17.59934425354,84.6500015258789,54.575,22.8072545190346,"53.80921052631579","22.78382525771158","[]","[]","[]","[]","[]","[]","[]","[]"
