"Framework","Iteration","Training.size","Batch.size","Number.of.epochs","Learning.rate","Precision.mode","Device","Weight.initialization","Dropout.rate","Training.time..in.seconds.","Inference.time..in.seconds.","Accuracy..in...","Average.CPU.usage..in.....during.CPU.training.","Average.RAM.usage..in.....during.CPU.training.","Average.CPU.usage..in.....during.CPU.inference.","Average.RAM.usage..in.....during.CPU.inference.","Average.CPU.usage..in.....during.GPU.training.","Average.RAM.usage..in.....during.GPU.training.","Average.GPU.usage..in.....during.GPU.training.","Average.GPU.VRAM..in.....during.GPU.training.","Average.CPU.usage..in.....during.GPU.inference.","Average.RAM.usage..in.....during.GPU.inference.","Average.GPU.usage..in.....during.GPU.inference.","Average.GPU.VRAM..in.....during.GPU.inference."
"TensorFlow",0,0.2,64,5,0.01,"float32","cpu","xavier",0,4.258709192276,30.9566259384155,90.85,54.7052631578947,21.8768223381049,"45.970053475935835","21.759282079555113","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,5,0.05,"float32","cpu","xavier",0,4.13568115234375,29.9053907394409,96.51,55.6872727272727,21.8907396458555,"45.75","21.799773972243962","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,5,0.1,"float32","cpu","xavier",0,4.18814277648926,29.2320013046265,96.76,54.2053571428571,21.8813938667243,"45.62738095238095","21.755546050282323","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,5,0.01,"float32","cpu","he",0,4.09869742393494,29.3874979019165,93.98,55.7314814814815,21.9002664989506,"46.01840659340659","21.766837051026226","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,5,0.05,"float32","cpu","he",0,4.06521224975586,29.2518138885498,96.79,55.3537037037037,21.8855563706618,"46.058865248226944","21.783802498427033","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,5,0.1,"float32","cpu","he",0,4.21199464797974,30.6167840957642,96.75,55,21.906701262217,"46.106622516556286","21.783224652834257","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,5,0.01,"float32","cpu","xavier",0,3.32494449615479,19.2054748535156,63.17,71.090243902439,22.2081137832176,"67.7063492063492","21.925831253125295","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,5,0.05,"float32","cpu","xavier",0,3.30600643157959,19.7489023208618,92.3,71.4926829268293,22.2953220038342,"68.39030612244898","21.923011987179144","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,5,0.1,"float32","cpu","xavier",0,3.30623579025269,18.9574003219604,94.83,72.685,22.2629484416585,"68.16511627906978","21.882627125980086","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,5,0.01,"float32","cpu","he",0,3.32562613487244,19.6956396102905,86.52,71.5780487804878,22.2465704162289,"70.08333333333333","21.90409191203424","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,5,0.05,"float32","cpu","he",0,3.35703229904175,19.2537069320679,94.29,71.7142857142857,22.2376584832932,"67.37360000000002","21.98216416474796","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,5,0.1,"float32","cpu","he",0,3.29560112953186,20.0493097305298,95.73,72.5731707317073,22.3111843398456,"68.4593137254902","21.96065137803588","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,512,5,0.01,"float32","cpu","xavier",0,3.20136618614197,17.3702478408813,25.3899999880791,73.3717948717948,22.3787403396087,"72.68104575163399","21.98253267440945","[]","[]","[]","[]","[]","[]","[]","[]"
