"Framework","Iteration","Training.size","Batch.size","Number.of.epochs","Learning.rate","Precision.mode","Device","Weight.initialization","Dropout.rate","Training.time..in.seconds.","Inference.time..in.seconds.","Accuracy..in...","Average.CPU.usage..in.....during.CPU.training.","Average.RAM.usage..in.....during.CPU.training.","Average.CPU.usage..in.....during.CPU.inference.","Average.RAM.usage..in.....during.CPU.inference.","Average.CPU.usage..in.....during.GPU.training.","Average.RAM.usage..in.....during.GPU.training.","Average.GPU.usage..in.....during.GPU.training.","Average.GPU.VRAM..in.....during.GPU.training.","Average.CPU.usage..in.....during.GPU.inference.","Average.RAM.usage..in.....during.GPU.inference.","Average.GPU.usage..in.....during.GPU.inference.","Average.GPU.VRAM..in.....during.GPU.inference."
"Keras",0,0.2,64,3,0.01,"float32","cpu","xavier",0,38.3679046630859,199.297382354736,80.8759987354279,35.6287907869482,13.6480166392905,"24.040581625908793","13.988296868244944","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,3,0.001,"float32","cpu","xavier",0,38.3876714706421,200.570432662964,80.8759987354279,35.6137931034483,13.6545357019484,"24.05457337883959","13.983126238098153","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,3,0.005,"float32","cpu","xavier",0,38.4829473495483,200.579431533814,80.8759987354279,35.6804597701149,13.6230863068535,"24.254913101604277","13.973383017132448","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,3,0.01,"float32","cpu","he",0,38.2005953788757,200.006286621094,80.9000015258789,35.6748076923077,13.5747981964948,"23.985381077529567","13.954518791547992","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,3,0.001,"float32","cpu","he",0,38.306565284729,198.986967086792,80.9000015258789,36.0376199616123,13.6208044573937,"23.710835811034027","13.97483523393119","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,3,0.005,"float32","cpu","he",0,38.5341591835022,201.058927536011,80.9000015258789,35.494465648855,13.5880366173261,"24.264851150202976","13.973928628612367","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,3,0.01,"float32","cpu","xavier",0,25.897182226181,164.626001358032,66.5319979190826,39.8659701492537,15.1214776633806,"31.538589575120458","14.662820519365134","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,3,0.001,"float32","cpu","xavier",0,25.8357584476471,164.35938835144,66.5319979190826,39.7269461077844,15.0281514905627,"31.404257206208428","14.651537106093068","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,3,0.005,"float32","cpu","xavier",0,25.9856908321381,165.811670303345,66.5319979190826,39.4442136498516,14.9890732024143,"31.56770130454341","14.662498668444382","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,3,0.01,"float32","cpu","he",0,26.0951342582703,166.570041656494,78.3240020275116,39.5074183976261,15.0108189706699,"31.67108647450111","14.666870292673801","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,3,0.001,"float32","cpu","he",0,25.9010319709778,165.315216064453,78.3240020275116,39.2446428571429,15.0113848626231,"31.65024390243902","14.677211189805872","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,3,0.005,"float32","cpu","he",0,25.865757226944,166.576370239258,78.3240020275116,39.1925373134328,14.9499437240851,"31.654128440366975","14.707940367548305","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,3,0.01,"float32","cpu","xavier",0,18.8404769897461,96.8285274505615,59.8760008811951,48.8452674897119,16.5130176655414,"45.97190839694656","15.312479143426595","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,3,0.001,"float32","cpu","xavier",0,18.6981027126312,98.1394996643067,59.8760008811951,48.7315352697095,16.3368086648396,"46.119066147859925","15.515155364894259","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,3,0.005,"float32","cpu","xavier",0,18.8405251502991,98.2523555755615,59.8760008811951,49.0576131687243,16.4512459484728,"45.94045354791514","15.31025791666963","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,3,0.01,"float32","cpu","he",0,18.9040596485138,98.33544921875,74.2879986763,48.0733606557377,16.4419114614848,"46.236029962546816","15.396015250627364","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,3,0.001,"float32","cpu","he",0,18.9561455249786,98.2021007537842,74.2879986763,48.6840163934426,16.3322562366253,"46.40366766467066","15.177201804439305","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,3,0.005,"float32","cpu","he",0,18.7948131561279,97.2492580413818,74.2879986763,48.5764462809917,16.541309266255,"46.284277198211626","15.499815938486528","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,5,0.01,"float32","cpu","xavier",0,63.1795723438263,200.676439285278,81.4639985561371,36.2303278688525,13.6865664217234,"24.097003994673766","13.97861097775858","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,5,0.001,"float32","cpu","xavier",0,63.1434082984924,198.791376113892,81.4639985561371,36.1489485981308,13.7125027710626,"24.320683818551114","13.989653801660182","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,5,0.005,"float32","cpu","xavier",0,63.0895202159882,202.755599975586,81.4639985561371,36.0308685446009,13.7235426815217,"24.23418316001342","13.964687464017606","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,5,0.01,"float32","cpu","he",0,62.8944442272186,199.129457473755,82.1359992027283,36.1149236192714,13.713942553084,"24.002583892617455","13.997862775538247","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,5,0.001,"float32","cpu","he",0,62.8650891780853,198.028524398804,82.1359992027283,36.4086956521739,13.6738272630172,"24.1792181757434","13.979010226384958","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,5,0.005,"float32","cpu","he",0,63.3321621417999,201.131202697754,82.1359992027283,36.1381563593932,13.7140844165097,"24.08540414161657","13.960840200614998","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,5,0.01,"float32","cpu","xavier",0,42.1073751449585,165.792673110962,79.9480020999908,39.8872458410351,15.1487937445397,"31.592589325099247","14.66080467753958","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,5,0.001,"float32","cpu","xavier",0,42.2323725223541,163.599880218506,79.9480020999908,40.2298148148148,15.3066232083234,"31.64223985890652","14.707743297862674","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,5,0.005,"float32","cpu","xavier",0,42.4910845756531,166.708391189575,79.9480020999908,40.2003683241252,15.2489077314672,"31.640351648351643","14.70907769015418","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,5,0.01,"float32","cpu","he",0,42.2094924449921,164.440027236938,84.0759992599487,40.5440740740741,15.2567838366865,"31.507405764966744","14.700391304721819","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,5,0.001,"float32","cpu","he",0,42.8672165870667,168.783163070679,84.0759992599487,39.7211678832117,15.2517595384266,"31.516754155730528","14.668684361925413","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,5,0.005,"float32","cpu","he",0,42.4710290431976,164.689001083374,84.0759992599487,40.3062615101289,15.2572495782924,"31.683922261484096","14.664383779424494","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,5,0.01,"float32","cpu","xavier",0,30.5797815322876,97.9621601104736,72.8999972343445,49.6329896907217,16.8763776199251,"46.21044885945548","15.319585864138867","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,5,0.001,"float32","cpu","xavier",0,30.4663062095642,98.1972579956055,72.8999972343445,50.0746113989637,16.9139343788657,"46.40889223813113","15.217484309141517","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,5,0.005,"float32","cpu","xavier",0,30.4573745727539,96.5710582733154,72.8999972343445,49.8069948186528,16.8848912144882,"46.29725111441307","15.329401280332283","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,5,0.01,"float32","cpu","he",0,30.4573409557343,97.2097835540771,74.9319970607758,50.174025974026,16.8015716761032,"46.14164827078734","15.267754099469874","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,5,0.001,"float32","cpu","he",0,30.3546888828278,97.2637424468994,74.9319970607758,50.1458333333333,17.0515474351797,"46.26274797942689","15.24183895779944","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,5,0.005,"float32","cpu","he",0,30.3638203144073,97.6148109436035,74.9319970607758,50.0293506493507,16.7778066461522,"46.116459400146304","15.173908928741243","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,10,0.01,"float32","cpu","xavier",0,125.631132364273,199.928215026855,80.1720023155212,36.8749406175772,13.7803232656066,"24.341350632069194","13.996791134280501","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,10,0.001,"float32","cpu","xavier",0,125.40550994873,200.156627655029,80.1720023155212,36.5296428571429,13.824892997853,"24.252745424292844","13.97566801350926","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,10,0.005,"float32","cpu","xavier",0,125.374621152878,198.434534072876,80.1720023155212,36.5525282569899,13.8232564216771,"24.347203728362185","13.988933624870151","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,10,0.01,"float32","cpu","he",0,126.095836400986,200.457475662231,78.8680016994476,36.592654028436,13.8297763204103,"24.203099999999996","13.995038715837111","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,10,0.001,"float32","cpu","he",0,125.583696603775,198.789543151855,78.8680016994476,36.4672813801309,13.8199531619453,"24.200960901259112","14.009386201811827","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,64,10,0.005,"float32","cpu","he",0,125.744667768478,200.032577514648,78.8680016994476,36.4304270462633,13.8421318169972,"24.25562913907285","13.995554202108874","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,10,0.01,"float32","cpu","xavier",0,82.8415040969849,164.663452148438,82.1479976177216,41.1715377268386,15.5159261558604,"31.81224130339058","14.719956718516665","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,10,0.001,"float32","cpu","xavier",0,83.439573764801,164.675735473633,82.1479976177216,41.1058712121212,15.5869410668016,"31.644674295774646","14.700156957057503","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,10,0.005,"float32","cpu","xavier",0,83.6515271663666,165.10435295105,82.1479976177216,41.0017029328288,15.5180459478614,"31.702871024734982","14.736268539158864","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,10,0.01,"float32","cpu","he",0,83.410302400589,166.995210647583,83.2599997520447,41.0211775878443,15.5849550124423,"31.545928196147113","14.716096404659295","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,10,0.001,"float32","cpu","he",0,82.9316289424896,165.799531936646,83.2599997520447,41.3888571428571,15.4238354555468,"31.56284706919348","14.677641781173765","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,256,10,0.005,"float32","cpu","he",0,83.4958469867706,165.159755706787,83.2599997520447,41.3238140417457,15.5696732860137,"31.480446194225724","14.695829610858317","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,10,0.01,"float32","cpu","xavier",0,59.796172618866,98.7739906311035,82.1879982948303,51.4208333333333,17.1714499839474,"46.22293510324484","15.48733897861147","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,10,0.001,"float32","cpu","xavier",0,59.5796663761139,97.942455291748,82.1879982948303,51.0970310391363,17.2224982723232,"46.195677655677656","15.37183294182631","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,10,0.005,"float32","cpu","xavier",0,59.4957377910614,98.245246887207,82.1879982948303,51.5587837837838,17.4137615456555,"46.14393491124261","15.39784892206704","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,10,0.01,"float32","cpu","he",0,59.3416922092438,97.2823810577393,79.4640004634857,51.5038043478261,17.5799593474008,"46.55526122148639","15.19016716151991","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,10,0.001,"float32","cpu","he",0,59.3939554691315,98.2353286743164,79.4640004634857,51.4166666666667,17.4026309795709,"46.3803979366249","15.299120562354355","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.2,512,10,0.005,"float32","cpu","he",0,59.4523692131042,97.0429439544678,79.4640004634857,51.5331081081081,17.443006818027,"45.97295504789978","15.368482298301997","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,3,0.01,"float32","cpu","xavier",0,65.6489715576172,197.522649765015,83.3519995212555,36.5053287981859,13.7399721671943,"24.32159546061415","13.997623282740607","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,3,0.001,"float32","cpu","xavier",0,65.9673147201538,199.277555465698,83.3519995212555,36.5051918735892,13.7844849154543,"24.503271028037386","14.011576881186356","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,3,0.005,"float32","cpu","xavier",0,65.8096990585327,200.75608253479,83.3519995212555,36.5345372460497,13.7653387418222,"24.296302465023317","14.013253643207484","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,3,0.01,"float32","cpu","he",0,65.7134771347046,198.958490371704,85.3999972343445,36.4930995475113,13.7341484792652,"24.463669663669663","14.016763615890355","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,3,0.001,"float32","cpu","he",0,65.9090898036957,199.617998123169,85.3999972343445,36.4599099099099,13.7623656805475,"24.332989003665446","14.00539267577218","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,3,0.005,"float32","cpu","he",0,65.5964744091034,198.513383865356,85.3999972343445,36.2816742081448,13.7611032717451,"24.628998655913975","13.996831052072706","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,3,0.01,"float32","cpu","xavier",0,44.3969304561615,165.823705673218,75.2160012722015,40.5030088495575,15.2776787088805,"31.687846763540286","14.724480602293042","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,3,0.001,"float32","cpu","xavier",0,44.0863046646118,164.739809036255,75.2160012722015,40.3312056737589,15.2875481785722,"31.694338788146837","14.75560982218907","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,3,0.005,"float32","cpu","xavier",0,44.1151797771454,165.716270446777,75.2160012722015,40.3923623445826,15.3337225661053,"31.4983606557377","14.747385382129933","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,3,0.01,"float32","cpu","he",0,44.302915096283,163.214952468872,83.9359998703003,40.1959363957597,15.250043604873,"31.59977944419938","14.725552777344014","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,3,0.001,"float32","cpu","he",0,44.5279431343079,164.331819534302,83.9359998703003,40.3604938271605,15.2957931080307,"31.326203904555314","14.69572452178604","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,3,0.005,"float32","cpu","he",0,44.3501696586609,164.329742431641,83.9359998703003,40.3298586572438,15.3547608609349,"31.575717439293598","14.714816525065824","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,3,0.01,"float32","cpu","xavier",0,31.9351894855499,98.6681976318359,72.2920000553131,50.1457711442786,17.226503768702,"46.31412803532008","15.33236504917237","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,3,0.001,"float32","cpu","xavier",0,32.0749523639679,98.2647514343262,72.2920000553131,50.252736318408,17.02910647851,"46.282098312545855","15.35752042762287","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,3,0.005,"float32","cpu","xavier",0,32.1714253425598,96.7002048492432,72.2920000553131,50.5444444444444,16.8468045553149,"46.198606016140864","15.162011142579159","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,3,0.01,"float32","cpu","he",0,32.0908391475677,98.5613498687744,74.3040025234222,50.5344913151365,17.1027289272154,"46.33718703976436","15.494625325503806","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,3,0.001,"float32","cpu","he",0,32.0802557468414,98.8265266418457,74.3040025234222,50.2138613861386,17.0387422440174,"46.310711665443876","15.284750923229174","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,3,0.005,"float32","cpu","he",0,32.0971176624298,98.6536884307861,74.3040025234222,50.4354838709677,16.8975568135321,"46.26812865497076","15.25696747869","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,5,0.01,"float32","cpu","xavier",0,108.51030087471,198.525911331177,83.076000213623,36.7490358126722,13.8135335344262,"24.161952524239382","14.005872287094673","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,5,0.001,"float32","cpu","xavier",0,108.533869028091,196.796854019165,83.076000213623,36.579834824501,13.8330102645826,"24.659020791415163","14.01153244945042","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,5,0.005,"float32","cpu","xavier",0,109.098926305771,200.213151931763,83.076000213623,36.6655266757866,13.8748575333639,"24.132071713147408","13.987855735440721","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,5,0.01,"float32","cpu","he",0,108.981584072113,198.836334228516,84.5359981060028,36.7552361396304,13.8518616041517,"24.23227848101266","13.996213099873168","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,5,0.001,"float32","cpu","he",0,108.242619514465,197.495210647583,84.5359981060028,36.7490683229814,13.8560818999875,"24.260753584528175","14.021464771473237","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,5,0.005,"float32","cpu","he",0,109.134163856506,199.744464874268,84.5359981060028,36.6991792065663,13.8517220505227,"24.29523809523809","14.014266239532072","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,5,0.01,"float32","cpu","xavier",0,72.9381041526794,164.828058242798,84.2920005321503,40.7898268398268,15.5032900186955,"31.65811587793012","14.732278437600268","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,5,0.001,"float32","cpu","xavier",0,73.0778584480286,164.327657699585,84.2920005321503,40.6886609071274,15.4573633475523,"31.7366931918656","14.71950767083935","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,5,0.005,"float32","cpu","xavier",0,72.9255638122559,163.684293746948,84.2920005321503,40.892,15.4278720372522,"31.88198317839752","14.71381355015412","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,5,0.01,"float32","cpu","he",0,72.9298741817474,165.655574798584,69.0439999103546,40.6792656587473,15.5023978989775,"31.66706349206349","14.742841704869596","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,5,0.001,"float32","cpu","he",0,72.7147443294525,164.023096084595,69.0439999103546,41.0065075921909,15.5737022698919,"31.440425531914894","14.728975179433444","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,5,0.005,"float32","cpu","he",0,73.1018619537354,165.185041427612,69.0439999103546,40.9693635382956,15.5057721101146,"31.363612334801765","14.722886274627903","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,5,0.01,"float32","cpu","xavier",0,52.6324100494385,98.5984592437744,71.4399993419647,50.9359208523592,17.3789571394889,"46.258849557522126","15.356063889332685","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,5,0.001,"float32","cpu","xavier",0,52.5147202014923,98.8031959533691,71.4399993419647,50.8733537519142,17.5957701382549,"46.53919117647059","15.464004303625595","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,5,0.005,"float32","cpu","xavier",0,52.3303153514862,97.231819152832,71.4399993419647,51.0947932618683,17.5182931701531,"46.51739130434783","15.252423669807632","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,5,0.01,"float32","cpu","he",0,52.6084399223328,97.3559284210205,83.0879986286163,50.8741984732824,17.466404659262,"46.267865003668376","15.326654807469941","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,5,0.001,"float32","cpu","he",0,52.6498918533325,97.9531021118164,83.0879986286163,51.0447328244275,17.4837125948167,"46.181530537159674","15.415950552483986","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,5,0.005,"float32","cpu","he",0,52.3293788433075,96.8092041015625,83.0879986286163,51.0105828220859,17.4428945916717,"46.59488304093568","15.331685127713959","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,10,0.01,"float32","cpu","xavier",0,217.602796792984,197.335887908936,81.224000453949,36.8063273727648,13.9304288781547,"24.28280678417027","14.024024511859922","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,10,0.001,"float32","cpu","xavier",0,216.215532541275,198.329845428467,81.224000453949,36.9054766031196,13.9470296680124,"24.931279147235177","14.000356109946901","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,10,0.005,"float32","cpu","xavier",0,217.202162742615,198.152160644531,81.224000453949,36.7780765253361,13.937703802539,"24.307676835400603","14.023960041861779","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,10,0.01,"float32","cpu","he",0,217.613610744476,199.516059875488,83.8199973106384,36.9567939456484,13.9211578937274,"24.230550033134527","13.999970401100514","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,10,0.001,"float32","cpu","he",0,216.916340827942,198.733903884888,83.8199973106384,36.8063125215592,13.8797778790607,"24.35266510224606","14.009495760034103","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,64,10,0.005,"float32","cpu","he",0,216.956175327301,199.899387359619,83.8199973106384,36.8031368493623,13.9304984835745,"24.606472166331322","14.003917002555617","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,10,0.01,"float32","cpu","xavier",0,144.593665361404,164.020114898682,84.8839998245239,41.2613062568606,15.8174099899266,"31.665663716814155","14.744263352153617","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,10,0.001,"float32","cpu","xavier",0,144.999708890915,163.776693344116,84.8839998245239,41.1833333333333,15.5717321815663,"31.629045092838194","14.74791534994585","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,10,0.005,"float32","cpu","xavier",0,144.640701293945,164.297792434692,84.8839998245239,41.3341383095499,15.8497553031385,"33.28519982433026","14.737679891076365","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,10,0.01,"float32","cpu","he",0,144.893629074097,165.176885604858,84.8839998245239,41.2112876712329,15.6592043009206,"31.557433628318584","14.703886199815837","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,10,0.001,"float32","cpu","he",0,146.342239141464,167.238586425781,84.8839998245239,41.0534997287032,15.6844438611288,"31.471832229580578","14.69734977363422","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,256,10,0.005,"float32","cpu","he",0,144.194989204407,164.716062545776,84.8839998245239,41.335077092511,15.7914122711321,"31.67107001321004","14.701172908678343","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,10,0.01,"float32","cpu","xavier",0,103.717588424683,98.1154766082764,85.7640027999878,51.6174863387978,17.4841154118869,"46.59381898454746","15.575565587207912","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,10,0.001,"float32","cpu","xavier",0,103.436709165573,98.5858554840088,85.7640027999878,51.9280688037529,17.6908125453928,"46.480913780397934","15.419296821799579","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,10,0.005,"float32","cpu","xavier",0,103.340676784515,97.1605129241943,85.7640027999878,51.987460815047,17.9121619889001,"46.21174298375185","15.349763909233532","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,10,0.01,"float32","cpu","he",0,104.039263248444,98.9219360351562,84.6480011940002,51.8884914463452,17.8366599173388,"46.48328424153166","15.352085424417817","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,10,0.001,"float32","cpu","he",0,103.880041122437,98.8130550384521,84.6480011940002,51.7186625194401,17.6411556617029,"46.22950699043414","15.490052953252178","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.35,512,10,0.005,"float32","cpu","he",0,103.946336269379,98.6758556365967,84.6480011940002,51.6792834890966,17.6051436143647,"46.08872620790629","15.297930725253682","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.5,64,3,0.01,"float32","cpu","xavier",0,93.2242171764374,197.951414108276,84.1759979724884,36.6451121794872,13.8458593016854,"24.045421961550993","14.01264394632233","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.5,64,3,0.001,"float32","cpu","xavier",0,93.411365032196,197.693849563599,84.1759979724884,36.6984025559105,13.800737612289,"24.436212070690228","13.992561431543239","[]","[]","[]","[]","[]","[]","[]","[]"
"Keras",0,0.5,64,3,0.005,"float32","cpu","xavier",0,93.8087708950043,199.398788452148,84.1759979724884,36.5812251392204,13.8307928912537,"24.285158069883526","14.016812062204318","[]","[]","[]","[]","[]","[]","[]","[]"
