"Framework","Iteration","Training.size","Batch.size","Number.of.epochs","Learning.rate","Precision.mode","Device","Weight.initialization","Dropout.rate","Training.time..in.seconds.","Inference.time..in.seconds.","Accuracy..in...","Average.CPU.usage..in.....during.CPU.training.","Average.RAM.usage..in.....during.CPU.training.","Average.CPU.usage..in.....during.CPU.inference.","Average.RAM.usage..in.....during.CPU.inference.","Average.CPU.usage..in.....during.GPU.training.","Average.RAM.usage..in.....during.GPU.training.","Average.GPU.usage..in.....during.GPU.training.","Average.GPU.VRAM..in.....during.GPU.training.","Average.CPU.usage..in.....during.GPU.inference.","Average.RAM.usage..in.....during.GPU.inference.","Average.GPU.usage..in.....during.GPU.inference.","Average.GPU.VRAM..in.....during.GPU.inference."
"Keras",0,0.2,64,3,0.01,"float32","gpu","xavier",0,6.94168567657471,26.5693817138672,82.5559973716736,NA,NA,"[]","[]","12.408510638297871","13.223964091109831","41.734042553191486","24.704921663806836","13.246857142857142","14.202635037891941","57.69714285714286","24.874952966261127"
"Keras",0,0.2,64,3,0.001,"float32","gpu","xavier",0,6.55092549324036,27.8785915374756,82.5559973716736,NA,NA,"[]","[]","11.966666666666667","13.192310195061","45.1","23.682428195158657","12.819407894736843","14.166645220649528","59.04934210526316","24.8329889693505"
"Keras",0,0.2,64,3,0.005,"float32","gpu","xavier",0,6.80818247795105,28.0602741241455,82.5559973716736,NA,NA,"[]","[]","12.202150537634408","13.242224269543355","41.956989247311824","23.680324320387772","13.015508021390373","14.185094581096214","59.37700534759358","24.907726679146396"
"Keras",0,0.2,64,3,0.01,"mixed","gpu","xavier",0,6.43250298500061,28.3728370666504,80.6280016899109,NA,NA,"[]","[]","11.961538461538462","13.215232881540897","34.23076923076923","23.212545638232328","12.643490304709141","14.154574852630367","40.04432132963989","24.505385732248"
"Keras",0,0.2,64,3,0.001,"mixed","gpu","xavier",0,6.30825209617615,25.8442401885986,80.6280016899109,NA,NA,"[]","[]","12.767415730337078","13.177641056337192","33.97752808988764","23.070982543612782","12.346745562130177","14.17793991213946","43.66568047337278","24.484113171895977"
"Keras",0,0.2,64,3,0.005,"mixed","gpu","xavier",0,6.55979228019714,30.3741626739502,80.6280016899109,NA,NA,"[]","[]","12.645054945054946","13.214802791344042","32.043956043956044","23.230738908651862","13.032824427480914","14.171752591028822","44.24173027989822","24.523128152936007"
"Keras",0,0.2,64,3,0.01,"float32","gpu","he",0,6.61443758010864,26.5706748962402,80.8560013771057,NA,NA,"[]","[]","11.77802197802198","13.242988899722802","43.97802197802198","24.796462787181458","12.527714285714286","14.16425523861686","59.24","24.876744727741837"
"Keras",0,0.2,64,3,0.001,"float32","gpu","he",0,6.81867432594299,31.5028839111328,80.8560013771057,NA,NA,"[]","[]","12.363440860215054","13.328929337773033","43.26881720430107","23.754229664904003","12.755102040816327","14.238170165464654","59.02623906705539","24.877291763491865"
"Keras",0,0.2,64,3,0.005,"float32","gpu","he",0,7.02060604095459,27.2548732757568,80.8560013771057,NA,NA,"[]","[]","12.458947368421052","13.299139432400974","41.96842105263158","23.783558985259475","12.899125364431486","14.23445412114842","57.177842565597665","24.87699923100522"
"Keras",0,0.2,64,3,0.01,"mixed","gpu","he",0,6.59968400001526,25.8136520385742,82.752001285553,NA,NA,"[]","[]","12.235869565217392","13.279574501794468","32.54347826086956","23.18886022936104","12.897120418848168","14.259142587920058","44.19371727748691","24.488341871092427"
"Keras",0,0.2,64,3,0.001,"mixed","gpu","he",0,6.58522891998291,24.6352481842041,82.752001285553,NA,NA,"[]","[]","12.239784946236558","13.254854074392695","32.54838709677419","23.132777424884246","12.681764705882351","14.212073041812408","43.40882352941176","24.496351657432072"
"Keras",0,0.2,64,3,0.005,"mixed","gpu","he",0,6.70086598396301,24.7860145568848,82.752001285553,NA,NA,"[]","[]","12.234042553191488","13.269120914755904","31.574468085106382","23.191836277222855","12.873333333333333","14.213082760475805","43.30793650793651","24.45272636417751"
"Keras",0,0.2,256,3,0.01,"float32","gpu","xavier",0,4.1149206161499,12.0888080596924,66.5440022945404,NA,NA,"[]","[]","11.236842105263158","13.080922469263413","32.56140350877193","26.561355099777536","15.11315789473684","14.22765512593816","63.19078947368421","28.28691570893872"
