"Framework","Iteration","Training.size","Batch.size","Number.of.epochs","Learning.rate","Precision.mode","Device","Weight.initialization","Dropout.rate","Training.time..in.seconds.","Inference.time..in.seconds.","Accuracy..in...","Average.CPU.usage..in.....during.CPU.training.","Average.RAM.usage..in.....during.CPU.training.","Average.CPU.usage..in.....during.CPU.inference.","Average.RAM.usage..in.....during.CPU.inference.","Average.CPU.usage..in.....during.GPU.training.","Average.RAM.usage..in.....during.GPU.training.","Average.GPU.usage..in.....during.GPU.training.","Average.GPU.VRAM..in.....during.GPU.training.","Average.CPU.usage..in.....during.GPU.inference.","Average.RAM.usage..in.....during.GPU.inference.","Average.GPU.usage..in.....during.GPU.inference.","Average.GPU.VRAM..in.....during.GPU.inference."
"PyTorch",0,0.2,64,3,0.01,"float32","cpu","xavier",0,76.1418452262878,210.634075164795,70.808,49.8169776119403,7.31992567973945,"53.773110047846885","7.254223753291711","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,64,3,0.001,"float32","cpu","xavier",0,93.4784700870514,205.534805297852,78.7,48.891748675246,7.32584478018876,"53.77254586417766","7.258362962574659","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,64,3,0.005,"float32","cpu","xavier",0,82.9589781761169,206.907180786133,75.548,49.0981244671782,7.3369540608934,"53.77036920164089","7.269296085006056","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,64,3,0.01,"float32","cpu","he",0,80.8947849273682,205.069305419922,75.664,50.9877192982456,7.33505183399405,"53.765861513687604","7.267918482201295","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,64,3,0.001,"float32","cpu","he",0,96.9889595508575,208.783615112305,71.996,49.1690181818182,7.30160711020966,"53.771640866873064","7.254755621373214","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,64,3,0.005,"float32","cpu","he",0,117.734096288681,210.891489028931,70.952,48.2985083532219,7.312121963112,"53.76176185866409","7.259601101287375","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,256,3,0.01,"float32","cpu","xavier",0,122.149155855179,656.872611999512,71.552,45.4994800693241,8.30523970098192,"45.525520534861506","7.628115877606251","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,256,3,0.001,"float32","cpu","xavier",0,178.42046880722,650.191829681396,50.524,44.4879843444227,8.32274596750941,"45.48918246218648","7.6259592182001805","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,256,3,0.005,"float32","cpu","xavier",0,152.06510424614,653.510671615601,62.212,43.8981549815498,8.32489435892007,"45.51025911708253","7.639213016775359","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,256,3,0.01,"float32","cpu","he",0,158.710318088531,649.77174949646,69.308,46.1807897071872,8.3111301935421,"45.54999999999999","7.62737167903137","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,256,3,0.001,"float32","cpu","he",0,153.35612154007,655.508541107178,62.188,45.1030205949657,8.31502674800833,"45.56391475472785","7.633138553095752","[]","[]","[]","[]","[]","[]","[]","[]"
"PyTorch",0,0.2,256,3,0.005,"float32","cpu","he",0,148.835643291473,656.950178146362,72.1,44.9536436295252,8.32774172749556,"45.530470189045076","7.619866055638608","[]","[]","[]","[]","[]","[]","[]","[]"
