"Framework","Iteration","Training.size","Batch.size","Number.of.epochs","Learning.rate","Precision.mode","Device","Weight.initialization","Dropout.rate","Training.time..in.seconds.","Inference.time..in.seconds.","Accuracy..in...","Average.CPU.usage..in.....during.CPU.training.","Average.RAM.usage..in.....during.CPU.training.","Average.CPU.usage..in.....during.CPU.inference.","Average.RAM.usage..in.....during.CPU.inference.","Average.CPU.usage..in.....during.GPU.training.","Average.RAM.usage..in.....during.GPU.training.","Average.GPU.usage..in.....during.GPU.training.","Average.GPU.VRAM..in.....during.GPU.training.","Average.CPU.usage..in.....during.GPU.inference.","Average.RAM.usage..in.....during.GPU.inference.","Average.GPU.usage..in.....during.GPU.inference.","Average.GPU.VRAM..in.....during.GPU.inference."
"PyTorch",0,0.2,64,3,0.01,"float32","gpu","xavier",0,3.5517303943634,15.9495162963867,80.104,NA,NA,"[]","[]","9.849056603773585","11.631566196954331","82.0377358490566","28.734478866173333","9.7279792746114","11.633176295178295","89.34715025906736","27.129060579455658"
"PyTorch",0,0.2,64,3,0.001,"float32","gpu","xavier",0,3.63467311859131,16.438850402832,77.04,NA,NA,"[]","[]","9.936363636363634","11.622815571513572","81.49090909090908","28.694343409005388","9.7896","11.616961503374142","89.812","27.129060579455658"
"PyTorch",0,0.2,64,3,0.005,"float32","gpu","xavier",0,3.61014556884766,16.5327682495117,72.308,NA,NA,"[]","[]","9.692727272727275","11.633136092581319","82.32727272727273","28.691150815821572","9.710798122065725","11.631632035829211","89.55399061032864","27.12705851733167"
"PyTorch",0,0.2,64,3,0.01,"mixed","gpu","xavier",0,2.49230289459229,11.7615280151367,73.644,NA,NA,"[]","[]","9.678378378378378","11.60914552393185","76.27027027027027","27.893125786014284","9.88191489361702","11.612777917058773","83.03191489361703","26.87821397215603"
"PyTorch",0,0.2,64,3,0.001,"mixed","gpu","xavier",0,2.47335290908813,11.9283008575439,76.188,NA,NA,"[]","[]","9.616216216216214","11.622373889499425","75.02702702702703","27.855159813017583","10.026923076923076","11.619066868985943","85.26923076923077","26.87821397215603"
"PyTorch",0,0.2,64,3,0.005,"mixed","gpu","xavier",0,2.42882490158081,11.6790790557861,76.236,NA,NA,"[]","[]","9.808108108108108","11.616437155342979","78.43243243243244","27.855159813017583","10.096694214876035","11.621080967577972","83.83471074380165","26.87821397215602"
"PyTorch",0,0.2,64,3,0.01,"float32","gpu","he",0,3.65487599372864,16.4560832977295,72.264,NA,NA,"[]","[]","9.605454545454545","11.62072387427477","82.87272727272727","28.73447886617333","9.816062176165802","11.627772325982624","89.18652849740933","27.1252913817294"
"PyTorch",0,0.2,64,3,0.001,"float32","gpu","he",0,3.64106702804565,16.3535633087158,74.06,NA,NA,"[]","[]","9.818181818181818","11.684181641612987","82.14545454545454","28.691606900562117","9.777435897435897","11.68804419177196","89.11794871794872","27.12520140088182"
"PyTorch",0,0.2,64,3,0.005,"float32","gpu","he",0,3.64172673225403,16.4638633728027,69.308,NA,NA,"[]","[]","9.692727272727273","11.623212663447498","81.47272727272727","28.694343409005388","9.78232558139535","11.622325585015185","89.50232558139535","27.129060579455658"
"PyTorch",0,0.2,64,3,0.01,"mixed","gpu","he",0,2.50493216514587,11.8727855682373,70.88,NA,NA,"[]","[]","9.7","11.698436682313927","77.39473684210526","27.89282248641798","9.738709677419356","11.69372299653513","84.28225806451613","26.878213972156022"
"PyTorch",0,0.2,64,3,0.001,"mixed","gpu","he",0,2.44675898551941,11.8767547607422,62.896,NA,NA,"[]","[]","9.797297297297296","11.681635567154272","77.08108108108108","27.85380388541056","9.911111111111113","11.68372804686738","82.57575757575758","26.87365312475058"
"PyTorch",0,0.2,64,3,0.005,"mixed","gpu","he",0,2.4612991809845,11.8722858428955,74.42,NA,NA,"[]","[]","9.824324324324323","11.693346349198865","76.29729729729729","27.88092243755106","10.004458598726114","11.693459824519532","84.10828025477707","26.87517824888298"
"PyTorch",0,0.2,256,3,0.01,"float32","gpu","xavier",0,1.63296389579773,7.3548755645752,69.884,NA,NA,"[]","[]","9.708333333333334","11.691208811854723","76.125","33.776495672896026","10.108333333333334","11.683511708656352","79.75","28.96024081274301"
"PyTorch",0,0.2,256,3,0.001,"float32","gpu","xavier",0,1.60604858398438,7.29408264160156,50.524,NA,NA,"[]","[]","9.545833333333334","11.67700167886313","76.875","33.47443454993938","9.847222222222221","11.68214231388236","79.30555555555556","28.887077218947283"
"PyTorch",0,0.2,256,3,0.005,"float32","gpu","xavier",0,1.64758086204529,7.0029411315918,62.212,NA,NA,"[]","[]","9.975","11.686921515155126","75.625","33.776495672896026","10.005555555555556","11.691943113490007","82.04444444444445","28.930696656772156"
"PyTorch",0,0.2,256,3,0.01,"mixed","gpu","xavier",0,1.11548924446106,4.62863159179688,70.556,NA,NA,"[]","[]","16.35","26.495467002666288","65.375","31.95785776997366","16.883333333333333","26.496721915271515","76.24074074074075","29.76294995610185"
"PyTorch",0,0.2,256,3,0.001,"mixed","gpu","xavier",0,1.11681056022644,4.68632888793945,51.988,NA,NA,"[]","[]","9.85625","11.685630233982884","68.1875","30.540574438730715","9.674999999999999","11.686202532230501","61.25","27.952673606756132"
"PyTorch",0,0.2,256,3,0.005,"mixed","gpu","xavier",0,1.12342238426208,4.6811408996582,69.976,NA,NA,"[]","[]","16.081249999999997","26.493868291691705","65.3125","31.959425561269285","16.185294117647064","26.504484153705757","76.3970588235294","29.74007864778923"
"PyTorch",0,0.2,256,3,0.01,"float32","gpu","he",0,1.62642168998718,7.29270172119141,69.28,NA,NA,"[]","[]","9.666666666666666","11.692597122787406","75.75","33.47443454993938","9.936697247706421","11.68797630328225","83.62385321100918","28.93975884205523"
"PyTorch",0,0.2,256,3,0.001,"float32","gpu","he",0,1.6474506855011,7.04716491699219,62.188,NA,NA,"[]","[]","9.633333333333333","11.69095015027402","76.04166666666667","33.776495672896026","9.906521739130433","11.691831668236114","83.05434782608695","28.960240812743"
"PyTorch",0,0.2,256,3,0.005,"float32","gpu","he",0,1.61258578300476,7.34004974365234,72.112,NA,NA,"[]","[]","9.7875","11.68823711710283","77.25","33.46920857895397","9.807692307692308","11.689611416306699","76.8076923076923","28.911036285926535"
"PyTorch",0,0.2,256,3,0.01,"mixed","gpu","he",0,1.13892388343811,4.70720863342285,73.152,NA,NA,"[]","[]","9.935294117647059","11.68408716125291","67.6470588235294","30.29858124110048","10.002702702702702","11.696195659508014","73.72972972972973","28.082277687194274"
"PyTorch",0,0.2,256,3,0.001,"mixed","gpu","he",0,1.14725089073181,4.70921516418457,62.196,NA,NA,"[]","[]","10.07058823529412","11.68059212275548","69.47058823529412","30.297105672822248","9.805555555555555","11.683262420707853","68.83333333333333","28.082277687194278"
"PyTorch",0,0.2,256,3,0.005,"mixed","gpu","he",0,1.13753294944763,4.71585655212402,68.228,NA,NA,"[]","[]","9.6875","11.681230833708886","70.0625","30.540574438730715","9.864285714285714","11.690337715508562","74.78571428571429","28.01956603536937"
"PyTorch",0,0.2,512,3,0.01,"float32","gpu","xavier",0,1.3580949306488,6.73754119873047,65.708,NA,NA,"[]","[]","9.695238095238095","11.678713036286561","74.28571428571429","39.894763875699525","7.3","11.693866616598298","5.0","31.217860278439737"
"PyTorch",0,0.2,512,3,0.001,"float32","gpu","xavier",0,1.37221598625183,6.71224212646484,50,NA,NA,"[]","[]","9.828571428571427","11.68403117918782","74.0","39.894763875699525","9.80566037735849","11.691377867056337","77.60377358490567","31.217860278439733"
"PyTorch",0,0.2,512,3,0.005,"float32","gpu","xavier",0,1.3716607093811,6.74140167236328,54.472,NA,NA,"[]","[]","9.761904761904763","11.682891577137546","74.33333333333333","39.90073641396856","9.88076923076923","11.696417257924988","73.53846153846153","31.03261970689539"
"PyTorch",0,0.2,512,3,0.01,"mixed","gpu","xavier",0,0.935690879821777,4.88253784179688,66.036,NA,NA,"[]","[]","16.835714285714285","26.49841513666695","58.285714285714285","35.13285911379478","16.19411764705882","26.50513088962092","64.76470588235294","31.042267653329993"
"PyTorch",0,0.2,512,3,0.001,"mixed","gpu","xavier",0,0.902456760406494,4.87824058532715,50,NA,NA,"[]","[]","16.24615384615384","26.50041505274157","58.07692307692308","35.09054597728874","16.162499999999998","26.494648456567106","50.375","31.04226765332999"
