"Framework","Iteration","Training.size","Batch.size","Number.of.epochs","Learning.rate","Precision.mode","Device","Weight.initialization","Dropout.rate","Training.time..in.seconds.","Inference.time..in.seconds.","Accuracy..in...","Average.CPU.usage..in.....during.CPU.training.","Average.RAM.usage..in.....during.CPU.training.","Average.CPU.usage..in.....during.CPU.inference.","Average.RAM.usage..in.....during.CPU.inference.","Average.CPU.usage..in.....during.GPU.training.","Average.RAM.usage..in.....during.GPU.training.","Average.GPU.usage..in.....during.GPU.training.","Average.GPU.VRAM..in.....during.GPU.training.","Average.CPU.usage..in.....during.GPU.inference.","Average.RAM.usage..in.....during.GPU.inference.","Average.GPU.usage..in.....during.GPU.inference.","Average.GPU.VRAM..in.....during.GPU.inference."
"TensorFlow",0,0.2,64,3,0.01,"float32","cpu","xavier",0,40.4176957607269,200.417854309082,76.472,32.8183636363636,12.8086517554813,"42.34761441090555","12.539456522146407","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,3,0.001,"float32","cpu","xavier",0,40.7612020969391,200.754867553711,79.736,32.8711711711712,12.8388135172355,"42.017430894308944","12.546847139396222","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,3,0.005,"float32","cpu","xavier",0,40.2899265289307,199.771343231201,77.548,32.8136612021858,12.8000443159969,"41.959431780640905","12.543132293692043","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,3,0.01,"float32","cpu","he",0,40.3820083141327,199.942939758301,63.312,32.9969034608379,12.7907096457581,"41.882287071598235","12.537925159721372","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,3,0.001,"float32","cpu","he",0,40.1737868785858,200.040370941162,75.472,32.6923357664234,12.8032071409837,"41.934596375617794","12.512911988842804","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,3,0.005,"float32","cpu","he",0,39.9426147937775,198.625335693359,77.06,32.8414678899083,12.8074646993037,"41.96158019667684","12.530945062146769","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,3,0.01,"float32","cpu","xavier",0,21.4728953838348,119.04655456543,69.544,38.4384879725086,14.3102724066341,"48.52615558060879","13.317072745504346","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,3,0.001,"float32","cpu","xavier",0,21.2887334823608,117.817575454712,68.656,38.1031141868512,14.4018021588583,"48.56653431650595","13.308173138421866","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,3,0.005,"float32","cpu","xavier",0,21.3860893249512,118.636754989624,74.148,38.4968965517241,14.3023507354548,"48.63843930635838","13.36165171091039","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,3,0.01,"float32","cpu","he",0,21.3625338077545,116.952760696411,67.576,38.5173010380623,14.3439907498783,"48.40683229813665","13.353224120973053","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,3,0.001,"float32","cpu","he",0,21.2584931850433,117.63959312439,71.772,38.3378472222222,14.508348835801,"48.44365482233502","13.335502208100557","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,3,0.005,"float32","cpu","he",0,21.4932172298431,118.098882675171,70.216,38.560824742268,14.2552878762812,"48.19768250289687","13.341347484921664","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,512,3,0.01,"float32","cpu","xavier",0,16.878169298172,99.5873107910156,64.348,45.32,15.8129501319524,"60.17336065573771","13.543835750909452","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,512,3,0.001,"float32","cpu","xavier",0,16.9356141090393,99.4860916137695,74.104,44.5797356828194,15.6921252565749,"59.94787878787879","13.357823076769765","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,512,3,0.005,"float32","cpu","xavier",0,16.865597486496,101.049083709717,70.528,45.3328888888889,15.8981522398934,"59.76176880222841","13.452834937608799","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,512,3,0.01,"float32","cpu","he",0,16.9702668190002,99.6109199523926,59.904,45.0243362831858,15.8439662974488,"60.07294520547945","13.513373651270989","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,512,3,0.001,"float32","cpu","he",0,17.2482562065125,104.018621444702,58.904,45.4139737991266,15.6904122688886,"60.09962802231866","13.471805582330042","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,512,3,0.005,"float32","cpu","he",0,17.2543885707855,99.3218154907227,59.356,45.3404347826087,15.7607453706488,"59.99918311776719","13.567092506155035","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,5,0.01,"float32","cpu","xavier",0,67.7611994743347,199.74063873291,78.376,32.6695081967213,12.8344439375578,"41.94495351925631","12.50313570656836","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,5,0.001,"float32","cpu","xavier",0,67.0990447998047,199.052627563477,80.828,32.7191885964912,12.8097631767369,"42.215180074049144","12.51757730530245","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,5,0.005,"float32","cpu","xavier",0,66.6254506111145,199.955299377441,74.676,32.8144432194046,12.8237327528487,"41.895643498503496","12.515084414026378","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,5,0.01,"float32","cpu","he",0,68.1179802417755,195.740655899048,74.312,32.7642391304348,12.827667231952,"42.18332788492972","12.509340671490037","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,5,0.001,"float32","cpu","he",0,67.0165069103241,200.037958145142,79.856,32.8601536772777,12.8304233268758,"41.981554031994776","12.52373898150295","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,64,5,0.005,"float32","cpu","he",0,67.1939125061035,198.177133560181,73.604,32.8689352360044,12.806367383567,"41.9343481138319","12.532033469190155","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,5,0.01,"float32","cpu","xavier",0,35.6364276409149,117.640338897705,73.612,38.7989561586639,14.3908983465315,"48.55404183154324","13.353576830236182","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,5,0.001,"float32","cpu","xavier",0,36.0934233665466,119.552520751953,71.664,38.2677685950413,14.5147674226051,"48.51889452904681","13.419989505954383","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,5,0.005,"float32","cpu","xavier",0,35.6955549716949,117.647756576538,76.292,38.8572025052192,14.5646532398239,"48.51995412844036","13.353565728800072","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,5,0.01,"float32","cpu","he",0,35.6109418869019,118.592756271362,72.176,38.6006263048017,14.4452234697419,"48.48766968325792","13.391559814898693","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,5,0.001,"float32","cpu","he",0,35.5392329692841,117.728893280029,74.824,39.3325630252101,14.4891340308718,"48.392224744608406","13.368362638942509","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,256,5,0.005,"float32","cpu","he",0,35.4036793708801,118.498567581177,66.76,38.5505263157895,14.452732745693,"48.61683615819209","13.373479207997988","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,512,5,0.01,"float32","cpu","xavier",0,28.5195746421814,99.704122543335,68.62,45.5189333333333,15.9645564907975,"59.97303070761015","13.520713563992839","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,512,5,0.001,"float32","cpu","xavier",0,28.2607913017273,100.155418395996,81.476,45.687399463807,16.1051272378762,"59.86174216027875","13.44140424422124","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,512,5,0.005,"float32","cpu","xavier",0,27.894378900528,99.4690532684326,76.084,45.9815217391304,16.0665225795983,"59.66006802721088","13.435690241153344","[]","[]","[]","[]","[]","[]","[]","[]"
"TensorFlow",0,0.2,512,5,0.01,"float32","cpu","he",0,27.9545192718506,99.7845554351807,66.924,45.7365853658537,16.1705589329236,"60.03061643835616","13.477879882408583","[]","[]","[]","[]","[]","[]","[]","[]"
