"Framework","Iteration","Training.size","Batch.size","Number.of.epochs","Learning.rate","Precision.mode","Device","Weight.initialization","Dropout.rate","Training.time..in.seconds.","Inference.time..in.seconds.","Accuracy..in...","Average.CPU.usage..in.....during.CPU.training.","Average.RAM.usage..in.....during.CPU.training.","Average.CPU.usage..in.....during.CPU.inference.","Average.RAM.usage..in.....during.CPU.inference.","Average.CPU.usage..in.....during.GPU.training.","Average.RAM.usage..in.....during.GPU.training.","Average.GPU.usage..in.....during.GPU.training.","Average.GPU.VRAM..in.....during.GPU.training.","Average.CPU.usage..in.....during.GPU.inference.","Average.RAM.usage..in.....during.GPU.inference.","Average.GPU.usage..in.....during.GPU.inference.","Average.GPU.VRAM..in.....during.GPU.inference."
"TensorFlow",0,0.2,64,3,0.01,"float32","gpu","xavier",0,5.28319621086121,36.9330520629883,75.82,NA,NA,"[]","[]","8.758974358974356","13.213834091739301","57.1025641025641","32.371111475589075","9.4496138996139","13.513761486825498","82.01737451737452","36.428447942307216"
"TensorFlow",0,0.2,64,3,0.001,"float32","gpu","xavier",0,4.53746247291565,37.5212287902832,80.232,NA,NA,"[]","[]","9.362318840579707","13.301730177499117","65.95652173913044","34.037885108618376","9.594444444444443","13.516682548386386","81.77604166666667","36.45315091210614"
"TensorFlow",0,0.2,64,3,0.005,"float32","gpu","xavier",0,4.60053300857544,37.7137508392334,76.736,NA,NA,"[]","[]","9.375714285714286","13.315972266255372","65.15714285714286","34.03773449678377","9.524074074074074","13.532233724417708","82.2462962962963","36.44192668775636"
"TensorFlow",0,0.2,64,3,0.01,"mixed","gpu","xavier",0,4.37507033348083,30.4478321075439,64.548,NA,NA,"[]","[]","10.1671875","13.242369820313247","51.265625","29.364339019189767","10.276658476658476","13.482022098015536","72.75184275184276","31.651695479614705"
"TensorFlow",0,0.2,64,3,0.001,"mixed","gpu","xavier",0,4.36169028282166,29.2799091339111,82.268,NA,NA,"[]","[]","10.0796875","13.2482238119666","50.984375","29.503480496676282","10.284895833333332","13.47355180650464","72.29427083333333","31.605104728458542"
"TensorFlow",0,0.2,64,3,0.005,"mixed","gpu","xavier",0,4.16258573532104,29.4488792419434,74.572,NA,NA,"[]","[]","10.216129032258065","13.236984515378069","52.903225806451616","29.400840740725748","10.268264840182649","13.485146881530923","73.62100456621005","31.65254652259595"
"TensorFlow",0,0.2,64,3,0.01,"float32","gpu","he",0,4.59855842590332,37.9528484344482,73.944,NA,NA,"[]","[]","9.475714285714284","13.322954587170992","65.1","33.85533317804732","9.41532416502947","13.50144524105804","82.1139489194499","36.41122284764124"
"TensorFlow",0,0.2,64,3,0.001,"float32","gpu","he",0,4.5473620891571,37.2402954101562,72.892,NA,NA,"[]","[]","9.304411764705883","13.364056171434685","65.42647058823529","33.97901741908351","9.510567514677103","13.58083534049655","81.50293542074364","36.420153831313755"
"TensorFlow",0,0.2,64,3,0.005,"float32","gpu","he",0,4.63127470016479,38.8050155639648,76.744,NA,NA,"[]","[]","13.020289855072463","13.324649864810501","64.34782608695652","34.014254631119144","10.317533718689788","13.576770720133508","80.58188824662813","36.39351694435"
"TensorFlow",0,0.2,64,3,0.01,"mixed","gpu","he",0,4.66902327537537,30.4784049987793,71.912,NA,NA,"[]","[]","10.364179104477612","13.341004837957625","48.32835820895522","29.601958849924465","10.250930232558138","13.562487195889416","72.86279069767441","31.647508013965734"
